,CustomerID,InvoiceNo,TotalPrice,AvgOrderValue
0,,536544,5521.14,1229.1853221288516
1,,536555,2.9699999999999998,1229.1853221288516
2,,536558,99.75,1229.1853221288516
3,,536565,6.7,1229.1853221288516
4,,536592,6915.65,1229.1853221288516
5,,536596,38.09,1229.1853221288516
6,,536640,45.85,1229.1853221288516
7,,536755,54.25,1229.1853221288516
8,,536756,66.65,1229.1853221288516
9,,536780,12.8,1229.1853221288516
10,,536801,252.3,1229.1853221288516
11,,536862,1334.13,1229.1853221288516
12,,536864,636.6800000000001,1229.1853221288516
13,,536865,2396.96,1229.1853221288516
14,,536866,8.47,1229.1853221288516
15,,536876,7257.08,1229.1853221288516
16,,536883,5.46,1229.1853221288516
17,,536885,549.0,1229.1853221288516
18,,536920,69.3,1229.1853221288516
19,,536982,10661.69,1229.1853221288516
20,,536991,26.4,1229.1853221288516
21,,537025,76.83,1229.1853221288516
22,,537220,3.35,1229.1853221288516
23,,537230,2.95,1229.1853221288516
24,,537237,7335.45,1229.1853221288516
25,,537240,7660.4800000000005,1229.1853221288516
26,,537252,26.35,1229.1853221288516
27,,537253,351.47,1229.1853221288516
28,,537411,9.65,1229.1853221288516
29,,537434,8223.4,1229.1853221288516
30,,537442,5.07,1229.1853221288516
31,,537534,924.59,1229.1853221288516
32,,537621,19.5,1229.1853221288516
33,,537632,13541.33,1229.1853221288516
34,,537633,24.9,1229.1853221288516
35,,537637,15.7,1229.1853221288516
36,,537638,6293.86,1229.1853221288516
37,,537640,11540.34,1229.1853221288516
38,,537641,1240.19,1229.1853221288516
39,,537642,2164.51,1229.1853221288516
40,,537643,2416.59,1229.1853221288516
41,,537645,2448.29,1229.1853221288516
42,,537654,135.05,1229.1853221288516
43,,537666,5058.04,1229.1853221288516
44,,537675,5.04,1229.1853221288516
45,,537679,24.59,1229.1853221288516
46,,537823,6073.71,1229.1853221288516
47,,537839,12.87,1229.1853221288516
48,,537858,24.95,1229.1853221288516
49,,538044,21.299999999999997,1229.1853221288516
50,,538060,5.85,1229.1853221288516
51,,538071,7268.65,1229.1853221288516
52,,538096,3.7199999999999998,1229.1853221288516
53,,538127,7.5,1229.1853221288516
54,,538148,2215.27,1229.1853221288516
55,,538149,2446.16,1229.1853221288516
56,,538153,3091.82,1229.1853221288516
57,,538154,294.01,1229.1853221288516
58,,538177,6272.01,1229.1853221288516
59,,538188,2.95,1229.1853221288516
60,,538349,6602.31,1229.1853221288516
61,,538351,12633.67,1229.1853221288516
62,,538358,21.7,1229.1853221288516
63,,538520,23.3,1229.1853221288516
64,,538524,5344.98,1229.1853221288516
65,,538566,4909.89,1229.1853221288516
66,,538627,14.44,1229.1853221288516
67,,538649,14.149999999999999,1229.1853221288516
68,,538666,12.850000000000001,1229.1853221288516
69,,538678,67.72,1229.1853221288516
70,,538724,2.95,1229.1853221288516
71,,538778,39.45,1229.1853221288516
72,,538867,3.75,1229.1853221288516
73,,538877,12681.58,1229.1853221288516
74,,538880,638.74,1229.1853221288516
75,,538881,718.35,1229.1853221288516
76,,538883,1308.63,1229.1853221288516
77,,538884,518.73,1229.1853221288516
78,,538885,20.25,1229.1853221288516
79,,539013,38.25,1229.1853221288516
80,,539045,19.25,1229.1853221288516
81,,539070,19.9,1229.1853221288516
82,,539074,55.5,1229.1853221288516
83,,539081,2.95,1229.1853221288516
84,,539220,118.34,1229.1853221288516
85,,539223,2.5,1229.1853221288516
86,,539242,36.08,1229.1853221288516
87,,539245,81.99,1229.1853221288516
88,,539265,4.95,1229.1853221288516
89,,539300,72.59,1229.1853221288516
90,,539323,3.42,1229.1853221288516
91,,539337,670.38,1229.1853221288516
92,,539412,16.85,1229.1853221288516
93,,539434,4700.4,1229.1853221288516
94,,539436,4390.32,1229.1853221288516
95,,539437,5946.49,1229.1853221288516
96,,539441,0.42,1229.1853221288516
97,,539449,5.05,1229.1853221288516
98,,539451,4537.15,1229.1853221288516
99,,539453,5022.16,1229.1853221288516
100,,539457,29.8,1229.1853221288516
101,,539458,52.75,1229.1853221288516
102,,539479,17.55,1229.1853221288516
103,,539480,18.65,1229.1853221288516
104,,539481,11.7,1229.1853221288516
105,,539482,49.67,1229.1853221288516
106,,539485,19.95,1229.1853221288516
107,,539492,2529.81,1229.1853221288516
108,,539493,41.81,1229.1853221288516
109,,539500,205.74,1229.1853221288516
110,,539595,2094.9,1229.1853221288516
111,,539631,2104.0,1229.1853221288516
112,,539643,10.35,1229.1853221288516
113,,539648,7.4,1229.1853221288516
114,,539649,42.120000000000005,1229.1853221288516
115,,539650,96.44,1229.1853221288516
116,,539651,32.5,1229.1853221288516
117,,539656,2.1,1229.1853221288516
118,,539665,2.9,1229.1853221288516
119,,539708,1121.38,1229.1853221288516
120,,539713,10.5,1229.1853221288516
121,,539714,2.55,1229.1853221288516
122,,539715,1.25,1229.1853221288516
123,,539718,1261.19,1229.1853221288516
124,,539729,7.95,1229.1853221288516
125,,539733,47.75,1229.1853221288516
126,,539734,7.95,1229.1853221288516
127,,539735,596.34,1229.1853221288516
128,,539736,1172.46,1229.1853221288516
129,,539737,1805.29,1229.1853221288516
130,,539738,1736.26,1229.1853221288516
131,,539739,1077.8,1229.1853221288516
132,,539740,1041.32,1229.1853221288516
133,,539741,475.65,1229.1853221288516
134,,539742,392.72,1229.1853221288516
135,,539743,365.26,1229.1853221288516
136,,539744,579.7,1229.1853221288516
137,,539745,457.32000000000005,1229.1853221288516
138,,539746,155.82999999999998,1229.1853221288516
139,,539747,136.89,1229.1853221288516
140,,539748,76.92,1229.1853221288516
141,,539750,18745.86,1229.1853221288516
142,,539751,4.25,1229.1853221288516
143,,539753,62.79,1229.1853221288516
144,,539758,4.25,1229.1853221288516
145,,539759,2.1,1229.1853221288516
146,,539825,9.35,1229.1853221288516
147,,539839,5.7,1229.1853221288516
148,,539856,1298.4,1229.1853221288516
149,,539951,33.15,1229.1853221288516
150,,539952,26.15,1229.1853221288516
151,,539955,961.23,1229.1853221288516
152,,539958,5262.06,1229.1853221288516
153,,539979,12.45,1229.1853221288516
154,,539986,15.25,1229.1853221288516
155,,539989,3.75,1229.1853221288516
156,,539990,27.3,1229.1853221288516
157,,539991,78.7,1229.1853221288516
158,,539992,7.1,1229.1853221288516
159,,540026,3900.62,1229.1853221288516
160,,540116,10.129999999999999,1229.1853221288516
161,,540150,38.25,1229.1853221288516
162,,540154,1854.39,1229.1853221288516
163,,540186,7.95,1229.1853221288516
164,,540227,4.95,1229.1853221288516
165,,540238,583.37,1229.1853221288516
166,,540255,1331.8,1229.1853221288516
167,,540352,2094.11,1229.1853221288516
168,,540355,3401.94,1229.1853221288516
169,,540356,513.86,1229.1853221288516
170,,540375,12.75,1229.1853221288516
171,,540418,2688.72,1229.1853221288516
172,,540468,2311.53,1229.1853221288516
173,,540474,6.6,1229.1853221288516
174,,540476,4.25,1229.1853221288516
175,,540495,10.9,1229.1853221288516
176,,540497,16.8,1229.1853221288516
177,,540551,4731.64,1229.1853221288516
