CustomerID,Recency,Frequency,Monetary
,1,1428,1755276.64
14646,2,73,280206.02
18102,1,60,259657.3
17450,9,46,194550.79
16446,1,2,168472.5
14911,2,201,143825.06
12415,25,21,124914.53
14156,10,55,117379.63
17511,3,31,91062.38
16029,39,63,81024.84
12346,326,1,77183.6
16684,5,28,66653.56
14096,5,17,65164.79
13694,4,50,65039.62
15311,1,91,60767.9
13089,3,97,58825.83
17949,2,45,58510.48
15769,8,26,56252.72
15061,4,48,54534.14
14298,9,44,51527.3
14088,11,13,50491.81
15749,236,3,44534.3
12931,22,15,42055.96
17841,2,124,40991.57
15098,183,3,39916.5
13798,2,57,37153.85
16013,4,47,37130.6
16422,18,51,34684.4
12748,1,209,33719.73
15838,12,19,33643.08
17404,5,15,31906.82
17389,1,34,31833.68
13098,2,28,28882.44
14680,26,16,28754.11
13081,12,11,28337.38
13408,2,62,28117.04
17857,5,23,26879.04
16333,8,22,26626.8
13777,1,33,25977.16
12753,23,6,21429.39
12744,52,7,21279.29
16210,2,18,21086.3
17675,2,31,20374.28
17381,9,29,20275.61
15039,10,47,19914.44
12471,3,30,19824.05
12731,24,12,18895.91
15159,2,30,18641.01
12901,9,28,17654.54
12678,43,12,17628.46
14031,8,19,17286.86
17428,1,28,17256.85
13767,3,37,17220.36
13881,4,20,17159.52
16839,9,34,16594.35
12921,10,37,16587.09
14607,16,14,16569.5
15856,5,27,16387.57
17677,2,30,16363.23
15189,2,41,16225.39
14051,1,23,15610.39
15513,34,19,14758.22
16133,4,33,14589.039999999999
14866,11,12,14389.9
16705,1,20,14034.99
12681,15,22,13787.54
12621,2,20,13689.67
12540,20,17,13400.24
12433,1,7,13375.87
15498,3,27,13316.4
12477,23,6,13219.74
17735,3,19,13110.02
16525,3,26,13027.45
14258,10,9,12669.98
13078,4,26,12627.94
12536,44,3,12601.830000000002
15640,5,15,12515.66
16000,3,3,12393.7
17340,30,11,12353.29
12682,4,31,12288.22
13113,1,24,12245.96
14606,2,93,12156.65
12557,17,5,11990.960000000001
12939,65,8,11581.8
15125,26,15,11528.48
14194,5,21,11349.52
12971,4,86,11189.91
14895,8,20,11138.71
12409,79,3,11072.67
15482,16,12,11054.96
17581,1,25,11045.039999999999
13319,6,26,10845.55
17107,34,6,10815.43
13340,46,7,10736.48
14769,3,8,10674.75
17139,16,12,10668.47
16779,3,22,10629.72
17865,31,20,10526.32
17706,5,17,10504.49
15251,10,11,10484.99
14062,10,12,10464.85
15615,11,23,10399.74
15502,16,12,10384.93
16180,101,8,10254.18
16843,43,16,10196.57
12590,212,2,9864.26
13001,5,13,9818.82
13199,4,38,9817.12
15078,8,32,9743.11
12709,16,15,9736.52
13458,8,14,9646.57
