CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
,1,1428,1755276.64,4,4,4,444
14646.0,2,73,280206.02,4,4,4,444
18102.0,1,60,259657.3,4,4,4,444
17450.0,9,46,194550.79,4,4,4,444
16446.0,1,2,168472.5,4,2,4,424
14911.0,2,201,143825.06,4,4,4,444
12415.0,25,21,124914.53,3,4,4,344
14156.0,10,55,117379.63,4,4,4,444
17511.0,3,31,91062.38,4,4,4,444
16029.0,39,63,81024.84,3,4,4,344
12346.0,326,1,77183.6,1,1,4,114
16684.0,5,28,66653.56,4,4,4,444
14096.0,5,17,65164.79,4,4,4,444
13694.0,4,50,65039.62,4,4,4,444
15311.0,1,91,60767.9,4,4,4,444
13089.0,3,97,58825.83,4,4,4,444
17949.0,2,45,58510.48,4,4,4,444
15769.0,8,26,56252.72,4,4,4,444
15061.0,4,48,54534.14,4,4,4,444
14298.0,9,44,51527.3,4,4,4,444
14088.0,11,13,50491.81,4,4,4,444
15749.0,236,3,44534.3,1,3,4,134
12931.0,22,15,42055.96,3,4,4,344
17841.0,2,124,40991.57,4,4,4,444
15098.0,183,3,39916.5,1,3,4,134
13798.0,2,57,37153.85,4,4,4,444
16013.0,4,47,37130.6,4,4,4,444
16422.0,18,51,34684.4,4,4,4,444
12748.0,1,209,33719.73,4,4,4,444
15838.0,12,19,33643.08,4,4,4,444
17404.0,5,15,31906.82,4,4,4,444
17389.0,1,34,31833.68,4,4,4,444
13098.0,2,28,28882.44,4,4,4,444
14680.0,26,16,28754.11,3,4,4,344
13081.0,12,11,28337.38,4,4,4,444
13408.0,2,62,28117.04,4,4,4,444
17857.0,5,23,26879.04,4,4,4,444
16333.0,8,22,26626.8,4,4,4,444
13777.0,1,33,25977.16,4,4,4,444
12753.0,23,6,21429.39,3,4,4,344
12744.0,52,7,21279.29,2,4,4,244
16210.0,2,18,21086.3,4,4,4,444
17675.0,2,31,20374.28,4,4,4,444
17381.0,9,29,20275.61,4,4,4,444
15039.0,10,47,19914.44,4,4,4,444
12471.0,3,30,19824.05,4,4,4,444
12731.0,24,12,18895.91,3,4,4,344
15159.0,2,30,18641.01,4,4,4,444
12901.0,9,28,17654.54,4,4,4,444
12678.0,43,12,17628.46,3,4,4,344
14031.0,8,19,17286.86,4,4,4,444
17428.0,1,28,17256.85,4,4,4,444
13767.0,3,37,17220.36,4,4,4,444
13881.0,4,20,17159.52,4,4,4,444
16839.0,9,34,16594.35,4,4,4,444
12921.0,10,37,16587.09,4,4,4,444
14607.0,16,14,16569.5,4,4,4,444
15856.0,5,27,16387.57,4,4,4,444
17677.0,2,30,16363.23,4,4,4,444
15189.0,2,41,16225.39,4,4,4,444
14051.0,1,23,15610.39,4,4,4,444
15513.0,34,19,14758.22,3,4,4,344
16133.0,4,33,14589.04,4,4,4,444
14866.0,11,12,14389.9,4,4,4,444
16705.0,1,20,14034.99,4,4,4,444
12681.0,15,22,13787.54,4,4,4,444
12621.0,2,20,13689.67,4,4,4,444
12540.0,20,17,13400.24,3,4,4,344
12433.0,1,7,13375.87,4,4,4,444
15498.0,3,27,13316.4,4,4,4,444
12477.0,23,6,13219.74,3,4,4,344
17735.0,3,19,13110.02,4,4,4,444
16525.0,3,26,13027.45,4,4,4,444
14258.0,10,9,12669.98,4,4,4,444
13078.0,4,26,12627.94,4,4,4,444
12536.0,44,3,12601.830000000002,3,3,4,334
15640.0,5,15,12515.66,4,4,4,444
16000.0,3,3,12393.7,4,3,4,434
17340.0,30,11,12353.29,3,4,4,344
12682.0,4,31,12288.22,4,4,4,444
13113.0,1,24,12245.96,4,4,4,444
14606.0,2,93,12156.65,4,4,4,444
12557.0,17,5,11990.96,4,3,4,434
12939.0,65,8,11581.8,2,4,4,244
15125.0,26,15,11528.48,3,4,4,344
14194.0,5,21,11349.52,4,4,4,444
12971.0,4,86,11189.91,4,4,4,444
14895.0,8,20,11138.71,4,4,4,444
12409.0,79,3,11072.67,2,3,4,234
15482.0,16,12,11054.96,4,4,4,444
17581.0,1,25,11045.04,4,4,4,444
13319.0,6,26,10845.55,4,4,4,444
17107.0,34,6,10815.43,3,4,4,344
13340.0,46,7,10736.48,3,4,4,344
14769.0,3,8,10674.75,4,4,4,444
17139.0,16,12,10668.47,4,4,4,444
16779.0,3,22,10629.72,4,4,4,444
17865.0,31,20,10526.32,3,4,4,344
17706.0,5,17,10504.49,4,4,4,444
15251.0,10,11,10484.99,4,4,4,444
14062.0,10,12,10464.85,4,4,4,444
15615.0,11,23,10399.74,4,4,4,444
15502.0,16,12,10384.93,4,4,4,444
16180.0,101,8,10254.18,2,4,4,244
16843.0,43,16,10196.57,3,4,4,344
12590.0,212,2,9864.26,1,2,4,124
13001.0,5,13,9818.82,4,4,4,444
13199.0,4,38,9817.12,4,4,4,444
15078.0,8,32,9743.11,4,4,4,444
12709.0,16,15,9736.52,4,4,4,444
13458.0,8,14,9646.57,4,4,4,444
14733.0,17,12,9585.91,4,4,4,444
16523.0,2,21,9418.47,4,4,4,444
12567.0,23,10,9401.28,3,4,4,344
14367.0,9,16,9261.52,4,4,4,444
14667.0,11,25,9241.2,4,4,4,444
18092.0,3,11,9068.26,4,4,4,444
13969.0,8,18,9053.94,4,4,4,444
12451.0,11,5,9035.52,4,3,4,434
13488.0,18,13,8968.31,4,4,4,444
13090.0,9,14,8910.82,4,4,4,444
16033.0,6,20,8816.4,4,4,4,444
17017.0,3,20,8694.26,4,4,4,444
17243.0,2,26,8676.85,4,4,4,444
17306.0,11,19,8631.31,4,4,4,444
16656.0,23,15,8625.8,3,4,4,344
14527.0,3,55,8508.82,4,4,4,444
12683.0,5,15,8476.57,4,4,4,444
18139.0,18,6,8438.34,4,4,4,444
15358.0,5,22,8347.2,4,4,4,444
16558.0,1,20,8338.49,4,4,4,444
14056.0,2,23,8214.65,4,4,4,444
14936.0,34,8,8137.02,3,4,4,344
16672.0,3,20,8134.94,4,4,4,444
13854.0,9,25,8109.519999999999,4,4,4,444
14952.0,60,11,8099.49,2,4,4,244
18109.0,2,26,8052.97,4,4,4,444
